#Radius	Min Chn	Est Backgnd		Max Chn		Est Backgnd		Overall Backgnd		Counts		Counts-Backgnd
0.08	407		4.80E+02		1734		37				3.43E+05			3.82E+06	3.48E+06 	
0.1		400		3.90E+02		1752		17				2.75E+05			3.10E+06	2.82E+06 	
0.12	399		2.20E+02		1755		19				1.62E+05			2.29E+06	2.13E+06 	
0.14	405		2.00E+02		1768		6.4				1.41E+05			1.64E+06	1.50E+06 	
0.16	401		1.40E+02		1757		3.6				9.74E+04			1.16E+06	1.06E+06 	
0.18	409		1.00E+02		1759		1.6				6.86E+04			8.18E+05	7.49E+05 	
0.2		398		7.00E+01		1757		0.83			4.81E+04			5.76E+05	5.28E+05 	
0.22	402		5.00E+01		1756		0.43			3.41E+04			3.98E+05	3.64E+05 	
0.24	405		3.50E+01		1759		0.18			2.38E+04			2.80E+05	2.56E+05 	
0.26	403		2.50E+01		1752		0.16			1.70E+04			1.97E+05	1.80E+05 	
0.28	408		1.80E+01		1749		0.12			1.21E+04			1.40E+05	1.27E+05 	
